time,step-size,{Attack}.AttackInstance.output,{FollowingAlgorithm}.FollowingAlgorithmInstance.accel,{FollowingCar}.FollowingCarInstance.speed,{FollowingCar}.FollowingCarInstance.x,{LeadingCar}.LeadingCarInstance.accel,{LeadingCar}.LeadingCarInstance.speed,{LeadingCar}.LeadingCarInstance.x
0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,50.0
0.1,0.1,0.0,1.3900001049041748,0.0,0.0,0.027692910893753947,-0.001,50.0
0.2,0.1,0.0,1.427293062210083,0.1390000104904175,0.0,0.06534862343517606,0.0017692910893753948,49.9999
0.30000000000000004,0.1,0.0,1.4104524850845337,0.28172931671142587,0.013900001049041754,0.10292997598221719,0.008304153432893003,50.000076929108936
0.4,0.1,0.013900001049041754,1.393563151359558,0.4227745652198792,0.042072932720184336,0.1403998802771651,0.01859715103111472,50.00090734445222
0.5,0.1,0.042072932720184336,1.3782092332839966,0.562130880355835,0.08435038924217225,0.17772135804827702,0.03263713905883123,50.00276705955533
0.6,0.1,0.08435038924217225,1.3643516302108765,0.6999518036842347,0.14056347727775576,0.21485757750286952,0.050409274863658926,50.00603077346121
0.7,0.1,0.14056347727775576,1.3519078493118286,0.8363869667053223,0.2105586576461792,0.251771889675851,0.07189503261394588,50.011071700947575
0.7999999999999999,0.1,0.2105586576461792,1.3407953977584839,0.9715777516365052,0.2941973543167114,0.28842786459782566,0.09707222158153098,50.01826120420897
0.8999999999999999,0.1,0.2941973543167114,1.3309338092803955,1.1056572914123535,0.3913551294803619,0.32478932724707504,0.12591500804131353,50.027968426367124
0.9999999999999999,0.1,0.3913551294803619,1.322243332862854,1.238750672340393,0.5019208586215972,0.3608203932499368,0.15839394076602104,50.04055992717126
1.0999999999999999,0.1,0.5019208586215972,1.3146461248397827,1.3709750056266783,0.6257959258556365,0.39648550429434953,0.19447598009101472,50.05639932124786
1.2,0.1,0.6257959258556365,1.3080651760101318,1.5024396181106567,0.7628934264183045,0.4317494632216135,0.2341245305204497,50.07584691925696
1.3,0.1,0.7628934264183045,1.3024256229400635,1.63324613571167,0.9131373882293703,0.4665774687617367,0.2772994768426111,50.09925937230901
1.4000000000000001,0.1,0.9131373882293703,1.2976534366607666,1.7634886980056765,1.0764620018005375,0.5009351498780872,0.32395722371878477,50.12698931999327
1.5000000000000002,0.1,1.0764620018005375,1.2936766147613525,1.8932540416717534,1.2528108716011053,0.5347885996874562,0.37405073870659356,50.15938504236515
1.6000000000000003,0.1,1.2528108716011053,1.2904242277145386,2.022621703147889,1.4421362757682807,0.5681044089220584,0.42752959867533924,50.19679011623581
1.7000000000000004,0.1,1.4421362757682807,1.2878267765045166,2.1516641259193428,1.6443984460830698,0.6008496989004456,0.4843400395675451,50.239543076103345
1.8000000000000005,0.1,1.6443984460830698,1.2858164310455322,2.2804468035697947,1.8595648586750042,0.6329921539747959,0.5444250094575898,50.2879770800601
1.9000000000000006,0.1,1.8595648586750042,1.2843265533447266,2.409028446674348,2.087609539031984,0.6645000534225568,0.6077242248550694,50.34241958100586
2.0000000000000004,0.1,2.087609539031984,1.283292531967163,2.5374611020088205,2.3285123836994184,0.6953423027509679,0.674174230197325,50.40319200349137
2.1000000000000005,0.1,2.3285123836994184,1.2826509475708008,2.665790355205537,2.5822584939003006,0.7254884643835718,0.7437084604724219,50.4706094265111
2.2000000000000006,0.1,2.5822584939003006,1.2823394536972046,2.794055449962617,2.8488375294208543,0.7549087876984278,0.8162573069107791,50.54498027255835
2.3000000000000007,0.1,2.8488375294208543,1.2822983264923096,2.9222893953323377,3.1282430744171164,0.7835742383883825,0.891748185680622,50.62660600324943
2.400000000000001,0.1,3.1282430744171164,1.2824684381484985,3.0505192279815687,3.4204720139503504,0.8114565271144266,0.9701056095194602,50.71578082181749
2.500000000000001,0.1,3.4204720139503504,1.2827928066253662,3.1787660717964186,3.7255239367485076,0.8385281374238572,1.051251262230903,50.81279138276943
2.600000000000001,0.1,3.7255239367485076,1.283215045928955,3.3070453524589554,4.04340054392815,0.8647623529056939,1.1351040759732887,50.917916508992526
2.700000000000001,0.1,4.04340054392815,1.2836816310882568,3.435366857051851,4.374105079174045,0.8901332835565516,1.2215803112638581,51.03142691658986
2.800000000000001,0.1,4.374105079174045,1.2841397523880005,3.5637350201606766,4.717641764879231,0.9146158913309473,1.3105936396195135,51.15358494771625
2.9000000000000012,0.1,4.717641764879231,1.2845386266708374,3.6921489953994766,5.074015266895299,0.9381860148508288,1.4020552287526082,51.2846443116782
3.0000000000000013,0.1,5.074015266895299,1.2848286628723145,3.8206028580665605,5.443230166435247,0.9608203932499372,1.4958738302376913,51.42484983455346
3.1000000000000014,0.1,5.443230166435247,1.2849621772766113,3.9490857243537922,5.825290452241903,0.9824966891294744,1.591955869562685,51.574437217577234
3.2000000000000015,0.1,5.825290452241903,1.2848930358886719,4.077581942081453,6.220199024677283,1.0031935106024183,1.6902055384756325,51.7336328045335
3.3000000000000016,0.1,6.220199024677283,1.284576654434204,4.20607124567032,6.627957218885429,1.0228904324047325,1.7905248895358743,51.902653358381066
3.4000000000000017,0.1,6.627957218885429,1.2839701175689697,4.334528911113741,7.048564343452462,1.0415680160526366,1.8928139327763476,52.08170584733465
3.5000000000000018,0.1,7.048564343452462,1.2830321788787842,4.462925922870638,7.482017234563837,1.0592078290260416,1.9969707343816112,52.270987240612286
3.600000000000002,0.1,7.482017234563837,1.2817226648330688,4.591229140758516,7.928309826850901,1.0757924629592235,2.1028915172842155,52.470684314050445
