Rank,max_speed,max_x,LeadingCarInstance.simple_car.v0,FollowingAlgorithmInstance.eps,AttackInstance.attack_value,FollowingAlgorithmInstance.omega_n,LeadingCarInstance.simple_car.x0,FollowingCarInstance.v0,FollowingAlgorithmInstance.c1,AttackInstance.attack_time,FollowingCarInstance.x0,AttackInstance.step_size
1,26.7683882841,632.308049529,0,1,2.9,0.2,50,0,0.5,20,0,0.01
2,26.778387278,632.582928869,0,1,2.8,0.2,50,0,0.5,20,0,0.01
3,26.788387886,632.857845397,0,1,2.7,0.2,50,0,0.5,20,0,0.01
4,26.7983869132,633.132724319,0,1,2.6,0.2,50,0,0.5,20,0,0.01
5,26.8083874115,633.407637592,0,1,2.5,0.2,50,0,0.5,20,0,0.01
6,26.8183879241,633.682550155,0,1,2.4,0.2,50,0,0.5,20,0,0.01
7,26.828387011,633.95742891,0,1,2.3,0.2,50,0,0.5,20,0,0.01
8,26.8383875665,634.232346414,0,1,2.2,0.2,50,0,0.5,20,0,0.01
9,26.848386558,634.507224466,0,1,2.1,0.2,50,0,0.5,20,0,0.01
10,26.8583870944,634.782137958,0,1,2,0.2,50,0,0.5,20,0,0.01
11,26.8683877215,635.057051331,0,1,1.9,0.2,50,0,0.5,20,0,0.01
12,26.8783867773,635.331930244,0,1,1.8,0.2,50,0,0.5,20,0,0.01
13,26.8883872709,635.606847175,0,1,1.7,0.2,50,0,0.5,20,0,0.01
14,26.8983863005,635.881725562,0,1,1.6,0.2,50,0,0.5,20,0,0.01
15,26.9083867773,636.156638755,0,1,1.5,0.2,50,0,0.5,20,0,0.01
16,26.9183874545,636.431551625,0,1,1.4,0.2,50,0,0.5,20,0,0.01
17,26.9283864507,636.706430593,0,1,1.3,0.2,50,0,0.5,20,0,0.01
18,26.9383869705,636.981347804,0,1,1.2,0.2,50,0,0.5,20,0,0.01
19,26.9483860812,637.256226362,0,1,1.1,0.2,50,0,0.5,20,0,0.01
20,26.9583865437,637.531139191,0,1,1,0.2,50,0,0.5,20,0,0.01
21,26.9683872065,637.806052829,0,1,0.9,0.2,50,0,0.5,20,0,0.01
22,26.9783861718,638.080932332,0,1,0.8,0.2,50,0,0.5,20,0,0.01
23,26.9883867487,638.355849019,0,1,0.7,0.2,50,0,0.5,20,0,0.01
24,26.9983857831,638.630727638,0,1,0.6,0.2,50,0,0.5,20,0,0.01
25,27.0083862814,638.905641001,0,1,0.5,0.2,50,0,0.5,20,0,0.01
26,27.0183869061,639.180553862,0,1,0.4,0.2,50,0,0.5,20,0,0.01
27,27.0283858356,639.455432373,0,1,0.3,0.2,50,0,0.5,20,0,0.01
28,27.0383864912,639.730349365,0,1,0.2,0.2,50,0,0.5,20,0,0.01
29,27.0483855256,640.005227654,0,1,0.1,0.2,50,0,0.5,20,0,0.01
30,27.0583859858,640.280141588,0,1,0,0.2,50,0,0.5,20,0,0.01
