Rank,max_speed,max_x,LeadingCarInstance.simple_car.v0,FollowingAlgorithmInstance.eps,AttackInstance.attack_value,FollowingAlgorithmInstance.omega_n,LeadingCarInstance.simple_car.x0,FollowingCarInstance.v0,FollowingAlgorithmInstance.c1,AttackInstance.attack_time,FollowingCarInstance.x0,AttackInstance.step_size
1,17.1584425877,368.128988204,0,1,99,0.2,50,0,0.5,20,0,0.01
2,17.2584420571,370.87799024,0,1,98,0.2,50,0,0.5,20,0,0.01
3,17.3584414738,373.62699172,0,1,97,0.2,50,0,0.5,20,0,0.01
4,17.4584408709,376.375993218,0,1,96,0.2,50,0,0.5,20,0,0.01
5,17.5584402934,379.124994886,0,1,95,0.2,50,0,0.5,20,0,0.01
6,17.6584397361,381.873996316,0,1,94,0.2,50,0,0.5,20,0,0.01
7,17.758439199,384.622998285,0,1,93,0.2,50,0,0.5,20,0,0.01
8,17.8584385416,387.371999777,0,1,92,0.2,50,0,0.5,20,0,0.01
9,17.9584379539,390.121001111,0,1,91,0.2,50,0,0.5,20,0,0.01
10,18.0584373787,392.870002575,0,1,90,0.2,50,0,0.5,20,0,0.01
11,18.1584368536,395.619004667,0,1,89,0.2,50,0,0.5,20,0,0.01
12,18.258436223,398.368005765,0,1,88,0.2,50,0,0.5,20,0,0.01
13,18.3584357396,401.117007505,0,1,87,0.2,50,0,0.5,20,0,0.01
14,18.4584351662,403.866008985,0,1,86,0.2,50,0,0.5,20,0,0.01
15,18.5584345827,406.615010648,0,1,85,0.2,50,0,0.5,20,0,0.01
16,18.6584340391,409.36401222,0,1,84,0.2,50,0,0.5,20,0,0.01
17,18.7584334323,412.113013758,0,1,83,0.2,50,0,0.5,20,0,0.01
18,18.8584328792,414.862015471,0,1,82,0.2,50,0,0.5,20,0,0.01
19,18.9584322378,417.611016733,0,1,81,0.2,50,0,0.5,20,0,0.01
20,19.0584317133,420.360018475,0,1,80,0.2,50,0,0.5,20,0,0.01
21,19.1584310743,423.109019747,0,1,79,0.2,50,0,0.5,20,0,0.01
22,19.2584305295,425.858020954,0,1,78,0.2,50,0,0.5,20,0,0.01
23,19.3584299347,428.607022742,0,1,77,0.2,50,0,0.5,20,0,0.01
24,19.4584293744,431.356024118,0,1,76,0.2,50,0,0.5,20,0,0.01
25,19.5584288487,434.105025801,0,1,75,0.2,50,0,0.5,20,0,0.01
26,19.658428342,436.854027163,0,1,74,0.2,50,0,0.5,20,0,0.01
