time,step-size,{FollowingAlgorithm}.FollowingAlgorithmInstance.accel,{FollowingCar}.FollowingCarInstance.speed,{FollowingCar}.FollowingCarInstance.x,{LeadingCar}.LeadingCarInstance.accel,{LeadingCar}.LeadingCarInstance.speed,{LeadingCar}.LeadingCarInstance.x
0.0,0.0,0.0,0.0,0.0,-0.01,5.0,0.0
0.01,0.01,-0.01600000075995922,0.0,0.0,-0.006230095016944524,4.9999,0.05
0.02,0.01,-0.009968152269721031,-1.6000000759959222E-4,0.0,-0.0024602272413292593,4.999837699049831,0.099999
0.03,0.01,-0.003936363849788904,-2.596815302968025E-4,-1.600000075995922E-6,0.0013095661197728061,4.999813096777418,0.1499973769904983
0.04,0.01,0.0020953058265149593,-2.9904516879469156E-4,-4.196815378963948E-6,0.005079247860023128,4.999826192438616,0.1999955079582725
0.05,0.01,0.008126797154545784,-2.78092110529542E-4,-7.187267066910864E-6,0.008848780774184809,4.999876984917216,0.24999376988265867
0.060000000000000005,0.01,0.01415804959833622,-1.9682413898408413E-4,-9.968188172206285E-6,0.01261812765848981,4.999965472724957,0.2999925397318308
0.07,0.01,0.02018900401890278,-5.524364300072191E-5,-1.1936429562047127E-5,0.01638725131100613,5.000091654001542,0.3499921944590804
0.08,0.01,0.026219604536890984,1.4664639718830577E-4,-1.2488865992054347E-5,0.02015611453200497,5.000255526514652,0.3999931109990958
0.09,0.01,0.03224978595972061,4.0884244255721546E-4,-1.102240202017129E-5,0.0239246801243279,5.0004570876599725,0.4499956662642423
0.09999999999999999,0.01,0.03827948868274689,7.313403021544214E-4,-6.933977594599138E-6,0.02769291089375394,5.000696334461216,0.500000237140842
0.10999999999999999,0.01,0.04430865868926048,0.00111413518898189,3.794254269450726E-7,0.03146076964936671,5.000973263570153,0.5500072004854542
0.11999999999999998,0.01,0.050337232649326324,0.0015572217758744946,1.1520777316763966E-5,0.03522821920392144,5.001287871266647,0.6000169331211557
0.12999999999999998,0.01,0.05636515095829964,0.0020605941023677573,2.7092995075508904E-5,0.038995222374211984,5.001640153458686,0.6500298118338221
0.13999999999999999,0.01,0.062392354011535645,0.0026242456119507543,4.769893609918649E-5,0.04276174198143788,5.002030105682428,0.700046213368409
0.15,0.01,0.06841879338026047,0.0032481691520661114,7.394139221869405E-5,0.04652774085157119,5.002457723102242,0.7500665144252333
0.16,0.01,0.07444438338279724,0.003932357085868717,1.0642308373935519E-4,0.05029318181572346,5.002923000510758,0.8000910916562558
0.17,0.01,0.08046909421682358,0.0046768009196966895,1.457466545980424E-4,0.05405802771051257,5.0034259323289145,0.8501203216613634
0.18000000000000002,0.01,0.08649284392595291,0.0054814918618649264,1.9251466379500932E-4,0.05782224137842943,5.00396651260602,0.9001545809846526
0.19000000000000003,0.01,0.09251558780670166,0.006346420301124456,2.4732958241365866E-4,0.061585785668204836,5.004544735019804,0.9501942461107129
0.20000000000000004,0.01,0.09853725880384445,0.007271576179191473,3.1079378542490325E-4,0.06534862343517606,5.005160592876487,1.000239693460911
0.21000000000000005,0.01,0.10455780476331711,0.008256948767229919,3.8350954721681806E-4,0.06911071754165345,5.005814079110839,1.050291299389676
0.22000000000000006,0.01,0.11057714372873306,0.00930252681486309,4.660790348891173E-4,0.07287203085728697,5.0065051862862555,1.1003494401807845
0.23000000000000007,0.01,0.11659524589776993,0.010408298252150422,5.591043030377483E-4,0.07663252625943273,5.007233906594829,1.1504144920436472
0.24000000000000007,0.01,0.12261205166578293,0.011574250711128123,6.631872855592525E-4,0.08039216663351931,5.008000231857423,1.2004868311095955
0.25000000000000006,0.01,0.1286274641752243,0.01280037122778595,7.789297926705335E-4,0.08415091487341395,5.008804153523759,1.2505668334281697
0.26000000000000006,0.01,0.13464146852493286,0.014086645869538193,9.069335049483932E-4,0.08790873388178909,5.009645662672493,1.3006548749634073
0.2700000000000001,0.01,0.14065398275852203,0.015433060554787523,0.0010477999636437753,0.09166558657048816,5.010524750011311,1.3507513315901323
0.2800000000000001,0.01,0.14666494727134705,0.016839600382372744,0.0012021305691916507,0.09542143586089183,5.011441405877016,1.4008565790902454
0.2900000000000001,0.01,0.15267430245876312,0.018306249855086217,0.0013705265730153782,0.09917624468428393,5.012395620235625,1.4509709931490156
0.3000000000000001,0.01,0.1586819887161255,0.01983299287967385,0.0015535890715662405,0.10292997598221722,5.013387382682468,1.5010949493513719
0.3100000000000001,0.01,0.16468797624111176,0.021419812766835106,0.0017519190003629792,0.10668259270687923,5.01441668244229,1.5512288231781965
0.3200000000000001,0.01,0.17069214582443237,0.023066692529246223,0.0019661171280313306,0.1104340578214579,5.015483508369359,1.6013729900026195
0.3300000000000001,0.01,0.17669449746608734,0.024773613987490548,0.002196784053323793,0.11418433430050708,5.016587848947573,1.651527825086313
0.34000000000000014,0.01,0.1826949417591095,0.026540558962151423,0.0024445201931986987,0.11793338513031194,5.017729692290578,1.7016937035757889
0.35000000000000014,0.01,0.18869341909885406,0.02836750837974252,0.0027099257828202133,0.12168117330925436,5.018909026141881,1.7518710004986946
0.36000000000000015,0.01,0.19468988478183746,0.03025444257073106,0.0029936008666176387,0.12542766184817805,5.020125837874974,1.8020600907601134
0.37000000000000016,0.01,0.20068426430225372,0.03220134141854943,0.0032961452923249493,0.12917281377075368,5.021380114493456,1.8522613491388633
0.38000000000000017,0.01,0.20667651295661926,0.03420818406157197,0.0036181587065104437,0.13291659211384374,5.022671842631164,1.902475150283798
0.3900000000000002,0.01,0.2126665562391281,0.03627494919113817,0.003960240547126164,0.13665895992786736,5.024001008552302,1.9527018687101096
