Attack_value,Mean Distance,Max_Distance,Min_Distance,Max_following_car_accel,Min_following_car_accel
174,-49.305233103290895,76.15318284277318,-490.78103890812395,1.3937300443649292,-2.7900707721710205
175,-46.30018267169179,77.74452405973575,-483.0330385209038,1.3937300443649292,-2.830070734024048
176,-43.29513243677295,79.38517111675165,-475.28503860317085,1.3937300443649292,-2.870070695877075
177,-40.29008221069087,81.08924915447598,-467.5370379568885,1.3937300443649292,-2.9100706577301025
178,-37.2850321561663,82.88934717166075,-459.7890377718811,1.3937300443649292,-2.95007061958313
179,-34.279982124796355,84.87199939393231,-452.0410381845313,1.3937300443649292,-2.9900705814361572
180,-31.27493167076545,87.02037905041662,-444.2930367673456,1.3937300443649292,-3.0300707817077637
181,-28.26988150973104,89.25622673246431,-436.5450370523789,1.3937300443649292,-3.070070743560791
182,-25.264831338721713,91.5523625861095,-428.7970366517213,1.3937300443649292,-3.1100707054138184
183,-22.259780869469576,93.89621090837898,-421.0490354828273,1.3937300443649292,-3.1500706672668457
184,-19.254730917832664,96.28037171024161,-413.3010355325712,1.3937300443649292,-3.190070629119873
185,-16.249680704464282,98.69994267882853,-405.5530355688775,1.3937300443649292,-3.2300705909729004
186,-13.244630598733956,101.15138521392088,-397.8050353269696,1.3937300443649292,-3.270070791244507
187,-10.239580160252927,103.6320447591713,-390.0570351326277,1.3937300443649292,-3.310070753097534
188,-7.234529929927236,106.13983501259968,-382.3090342449552,1.3937300443649292,-3.3500707149505615
189,-4.229479792066354,108.67306548150009,-374.5610344404672,1.3937300443649292,-3.390070676803589
190,-1.2244297431301479,111.23036789164128,-366.8130346382169,1.3937300443649292,-3.430070638656616
191,1.7806203713965534,113.81057110430815,-359.0650340892122,1.3937300443649292,-3.4700708389282227
192,4.7856705153046635,116.41270544054349,-351.3170338436531,1.3937300443649292,-3.51007080078125
193,7.79072077513133,119.03592114482996,-343.5690331395748,1.3937300443649292,-3.5500707626342773
194,10.795771211135643,121.67950462615829,-335.8210322013035,1.3937300443649292,-3.5900707244873047
195,13.800821369128945,124.34282297878798,-328.0730322134352,1.3937300443649292,-3.630070686340332
196,16.805871630813602,127.0253136767434,-320.3250324124908,1.3937300443649292,-3.6700706481933594
197,19.8109217594208,129.72649251927055,-312.57703199160255,1.3937300443649292,-3.710070848464966
198,22.815971989515383,132.44593758210672,-304.8290316880418,1.3937300443649292,-3.750070810317993
199,25.821022297601587,135.18327518294734,-297.08103077336193,1.3937300443649292,-3.7900707721710205
