Rank,max_speed,max_x,LeadingCarInstance.simple_car.v0,FollowingAlgorithmInstance.eps,AttackInstance.attack_value,FollowingAlgorithmInstance.omega_n,LeadingCarInstance.simple_car.x0,FollowingCarInstance.v0,FollowingAlgorithmInstance.c1,AttackInstance.attack_time,FollowingCarInstance.x0,AttackInstance.step_size
1,19.7586904922,679.067578658,0,1,199,0.2,50,0,0.5,20,0,0.01
2,19.8586904937,686.815579572,0,1,198,0.2,50,0,0.5,20,0,0.01
3,19.9586904994,694.563579876,0,1,197,0.2,50,0,0.5,20,0,0.01
4,20.0586905342,702.311580297,0,1,196,0.2,50,0,0.5,20,0,0.01
5,20.1586904845,710.059580098,0,1,195,0.2,50,0,0.5,20,0,0.01
6,20.2586905494,717.807580086,0,1,194,0.2,50,0,0.5,20,0,0.01
7,20.3586905909,725.555581024,0,1,193,0.2,50,0,0.5,20,0,0.01
8,20.4586905493,733.303581728,0,1,192,0.2,50,0,0.5,20,0,0.01
9,20.5586905387,741.051581973,0,1,191,0.2,50,0,0.5,20,0,0.01
10,20.6586905377,748.799582522,0,1,190,0.2,50,0,0.5,20,0,0.01
11,20.7586905488,756.547582325,0,1,189,0.2,50,0,0.5,20,0,0.01
12,20.858690555,764.295582129,0,1,188,0.2,50,0,0.5,20,0,0.01
13,20.9586905634,772.043583017,0,1,187,0.2,50,0,0.5,20,0,0.01
14,21.0586905509,779.791583211,0,1,186,0.2,50,0,0.5,20,0,0.01
15,21.1586905435,787.539583453,0,1,185,0.2,50,0,0.5,20,0,0.01
16,21.2586905657,795.287583417,0,1,184,0.2,50,0,0.5,20,0,0.01
17,21.3586905906,803.035583367,0,1,183,0.2,50,0,0.5,20,0,0.01
18,21.4586905712,810.783584536,0,1,182,0.2,50,0,0.5,20,0,0.01
19,21.5586906209,818.531584937,0,1,181,0.2,50,0,0.5,20,0,0.01
20,21.6586905629,826.279584652,0,1,180,0.2,50,0,0.5,20,0,0.01
21,21.7586906301,834.027586069,0,1,179,0.2,50,0,0.5,20,0,0.01
22,21.8586905571,841.775585656,0,1,178,0.2,50,0,0.5,20,0,0.01
23,21.958690588,849.523585841,0,1,177,0.2,50,0,0.5,20,0,0.01
24,22.058690609,857.271586487,0,1,176,0.2,50,0,0.5,20,0,0.01
25,22.1586906242,865.019586405,0,1,175,0.2,50,0,0.5,20,0,0.01
26,22.2586905725,872.767586792,0,1,174,0.2,50,0,0.5,20,0,0.01
27,22.3586906461,880.515585969,0,1,173,0.2,50,0,0.5,20,0,0.01
28,22.4586905722,888.263586187,0,1,172,0.2,50,0,0.5,20,0,0.01
29,22.5586906013,896.011585991,0,1,171,0.2,50,0,0.5,20,0,0.01
30,22.6586905938,903.759586525,0,1,170,0.2,50,0,0.5,20,0,0.01
31,22.7586907072,911.507586891,0,1,169,0.2,50,0,0.5,20,0,0.01
32,22.8586906855,919.255588217,0,1,168,0.2,50,0,0.5,20,0,0.01
33,22.9586906304,927.003588036,0,1,167,0.2,50,0,0.5,20,0,0.01
34,23.0586906591,934.751588157,0,1,166,0.2,50,0,0.5,20,0,0.01
35,23.1586906447,942.49958777,0,1,165,0.2,50,0,0.5,20,0,0.01
36,23.2586907052,950.24758921,0,1,164,0.2,50,0,0.5,20,0,0.01
37,23.3586906682,957.99558897,0,1,163,0.2,50,0,0.5,20,0,0.01
38,23.4586906599,965.743589982,0,1,162,0.2,50,0,0.5,20,0,0.01
39,23.5586906622,973.491590068,0,1,161,0.2,50,0,0.5,20,0,0.01
40,23.6586906873,981.239590239,0,1,160,0.2,50,0,0.5,20,0,0.01
41,23.7586906774,988.987590477,0,1,159,0.2,50,0,0.5,20,0,0.01
42,23.8586907613,996.735591194,0,1,158,0.2,50,0,0.5,20,0,0.01
43,23.958690691,1004.48359196,0,1,157,0.2,50,0,0.5,20,0,0.01
44,24.0586907315,1012.23159337,0,1,156,0.2,50,0,0.5,20,0,0.01
45,24.1586906801,1019.97959255,0,1,155,0.2,50,0,0.5,20,0,0.01
46,24.2586907829,1027.72759312,0,1,154,0.2,50,0,0.5,20,0,0.01
47,24.3586907318,1035.47559206,0,1,153,0.2,50,0,0.5,20,0,0.01
48,24.4586907823,1043.22359249,0,1,152,0.2,50,0,0.5,20,0,0.01
49,24.5586907338,1050.97159365,0,1,151,0.2,50,0,0.5,20,0,0.01
50,24.6586907636,1058.7195932,0,1,150,0.2,50,0,0.5,20,0,0.01
51,24.758690725,1066.46759414,0,1,149,0.2,50,0,0.5,20,0,0.01
52,24.8586907746,1074.21559364,0,1,148,0.2,50,0,0.5,20,0,0.01
53,24.9586907989,1081.96359393,0,1,147,0.2,50,0,0.5,20,0,0.01
54,25.0586907762,1089.71159518,0,1,146,0.2,50,0,0.5,20,0,0.01
55,25.1586908139,1097.45959452,0,1,145,0.2,50,0,0.5,20,0,0.01
56,25.2586908592,1105.20759525,0,1,144,0.2,50,0,0.5,20,0,0.01
57,25.3586908566,1112.95559494,0,1,143,0.2,50,0,0.5,20,0,0.01
58,25.4586908263,1120.70359469,0,1,142,0.2,50,0,0.5,20,0,0.01
59,25.5586909026,1128.45159628,0,1,141,0.2,50,0,0.5,20,0,0.01
60,25.6586908338,1136.19959575,0,1,140,0.2,50,0,0.5,20,0,0.01
61,25.7586909032,1143.94759644,0,1,139,0.2,50,0,0.5,20,0,0.01
62,25.8586908755,1151.69559638,0,1,138,0.2,50,0,0.5,20,0,0.01
63,25.9586908618,1159.44359642,0,1,137,0.2,50,0,0.5,20,0,0.01
64,26.0586908767,1167.19159771,0,1,136,0.2,50,0,0.5,20,0,0.01
65,26.1586909089,1174.93959844,0,1,135,0.2,50,0,0.5,20,0,0.01
66,26.2586908743,1182.68759887,0,1,134,0.2,50,0,0.5,20,0,0.01
67,26.35869093,1190.43559904,0,1,133,0.2,50,0,0.5,20,0,0.01
68,26.4586907724,1198.18359855,0,1,132,0.2,50,0,0.5,20,0,0.01
69,26.5586908057,1205.93159875,0,1,131,0.2,50,0,0.5,20,0,0.01
70,26.6586908811,1213.67959991,0,1,130,0.2,50,0,0.5,20,0,0.01
71,26.7586908495,1221.4276002,0,1,129,0.2,50,0,0.5,20,0,0.01
72,26.8586908111,1229.17560009,0,1,128,0.2,50,0,0.5,20,0,0.01
73,26.9586908716,1236.92360035,0,1,127,0.2,50,0,0.5,20,0,0.01
74,27.0586907876,1244.67160042,0,1,126,0.2,50,0,0.5,20,0,0.01
75,27.1586907917,1252.41960013,0,1,125,0.2,50,0,0.5,20,0,0.01
76,27.2586908549,1260.16760164,0,1,124,0.2,50,0,0.5,20,0,0.01
77,27.3586908701,1267.91560196,0,1,123,0.2,50,0,0.5,20,0,0.01
78,27.4586908311,1275.66360167,0,1,122,0.2,50,0,0.5,20,0,0.01
79,27.5586907964,1283.41160258,0,1,121,0.2,50,0,0.5,20,0,0.01
80,27.6586908525,1291.1596031,0,1,120,0.2,50,0,0.5,20,0,0.01
81,27.7586908919,1298.90760354,0,1,119,0.2,50,0,0.5,20,0,0.01
82,27.8586908564,1306.6556026,0,1,118,0.2,50,0,0.5,20,0,0.01
83,27.9586908333,1314.40360374,0,1,117,0.2,50,0,0.5,20,0,0.01
84,28.0586908424,1322.15160375,0,1,116,0.2,50,0,0.5,20,0,0.01
85,28.1586908808,1329.89960427,0,1,115,0.2,50,0,0.5,20,0,0.01
86,28.2586907433,1337.64760447,0,1,114,0.2,50,0,0.5,20,0,0.01
87,28.3586908569,1345.39560511,0,1,113,0.2,50,0,0.5,20,0,0.01
88,28.4586908089,1353.1436048,0,1,112,0.2,50,0,0.5,20,0,0.01
89,28.5586908165,1360.89160488,0,1,111,0.2,50,0,0.5,20,0,0.01
